,conversation_id_str,created_at,favorite_count,Tweet,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,predicted_sentiment
0,1802857867214758354,Tue Jun 18 00:16:25 +0000 2024,1,bp tapera tegaskan 124 960 pesea telah ditindaklanjuti dan selesai  mbappe wisnu bawah ipk 4 daging pagii https   t co zsvrpy9wej,1802857867214758354,https://pbs.twimg.com/media/GQUJpQFbEAAgmg_.jpg,,in,,0,0,1,https://x.com/masyitaarinra/status/1802857867214758354,1751794736246263808,masyitaarinra,neutral
1,1802857601174261946,Tue Jun 18 00:15:22 +0000 2024,0,belom bayar tapera   ,1802857601174261946,,,in,,0,0,0,https://x.com/heiythru/status/1802857601174261946,1219843146932047873,heiythru,neutral
2,1802666717635899784,Tue Jun 18 00:11:08 +0000 2024,0, kosasih0706  zy zy lestary kt projo   eitss kita punya tapera bisa nalangin     ,1802856537590989244,,Kosasih0706,in,,0,0,0,https://x.com/rtobg71/status/1802856537590989244,1745326212350869504,rtobg71,negative
3,1802855451291181403,Tue Jun 18 00:06:49 +0000 2024,0,setelah tapera pemerintah canangkan bank tanah faisal basri  untuk siapa  https   t co khnabv3wns https   t co khnabv3wns,1802855451291181403,,,in,indonesia,0,0,0,https://x.com/posaktualcom/status/1802855451291181403,1636627729675337734,posaktualcom,neutral
4,1802854006043423126,Tue Jun 18 00:01:05 +0000 2024,0,emak gua ngomel perkara tapera yakali pns nutupin tapera yg kerja swasta,1802854006043423126,,,in,Indonesia,0,0,0,https://x.com/xooyaxee/status/1802854006043423126,1231225864722903042,xooyaxee,negative
5,1802853699242643555,Mon Jun 17 23:59:51 +0000 2024,1,cuti bersama tapera  contoh kelakuan pemerintah yang suka seenaknya mengurangi hak pekerja,1802853699242643555,,,in,"Indonesia, mostly",0,0,1,https://x.com/goraici/status/1802853699242643555,15177656,goraici,negative
6,1802853520791724424,Mon Jun 17 23:59:09 +0000 2024,1,semangat pagi warga tapera  semangat beraktivitas hari ini    https   t co mdhgr1jnxu,1802853520791724424,https://pbs.twimg.com/ext_tw_video_thumb/1802853471869353984/pu/img/IxAGuwQYOSEVbla1.jpg,,in,,0,0,0,https://x.com/AbanggSayur/status/1802853520791724424,1102960516832550912,AbanggSayur,positive
7,1802851692381368824,Mon Jun 17 23:51:53 +0000 2024,0,kasian banget orang indonesia  gaji kecil dipotong pajak bpjs kes bpjs tk nanti bakal ada tapera trus harus bagi2 lagi buat tiga keluarga pas nikah ,1802851692381368824,,,in,Themyscira,0,0,0,https://x.com/napuspita/status/1802851692381368824,59013475,napuspita,neutral
8,1802850533453320239,Mon Jun 17 23:47:17 +0000 2024,0,benci banget masalah tapera masalah pajak gaji aja udh emosi ini ditambah tapera 3  dr gaji  pengen nyundut pake roko deh  ga ada yg bkin emosi kecuali duit duit,1802850533453320239,,,in,,0,0,0,https://x.com/pemujaagensi/status/1802850533453320239,1781971068955332608,pemujaagensi,negative
9,1802849736296108332,Mon Jun 17 23:44:07 +0000 2024,0,makanya itu menteri kesayangan warga sebelum tapera sebut saja pak basuki ogah tinggal di ikn ,1802849736296108332,,,in,"Munich, Bavaria",0,0,0,https://x.com/DediiAjii/status/1802849736296108332,309479273,DediiAjii,negative
10,1802705123447390602,Mon Jun 17 23:33:06 +0000 2024,0,  hrst kirain gara gara dipotong tapera ,1802846967372071024,,_Hrst,in,,0,0,0,https://x.com/drivojansen/status/1802846967372071024,36277633,drivojansen,negative
11,1802704953510941026,Mon Jun 17 23:32:50 +0000 2024,0, bacottetangga  woee pagi udah kirim sms tagihan tapera,1802846897557868692,,bacottetangga_,in,Indonesia,0,0,0,https://x.com/alblankon/status/1802846897557868692,951652705,alblankon,neutral
12,1802332375533408715,Mon Jun 17 23:29:37 +0000 2024,0, wagimandeep212  karyawan judol disana kena potongan tapera gak ya ,1802846087142588723,,WagimanDeep212_,in,"Central Java, Indonesia",0,0,0,https://x.com/cahyo_sanghyang/status/1802846087142588723,1569348478907858947,cahyo_sanghyang,negative
13,1802365300404576703,Mon Jun 17 23:25:51 +0000 2024,0, antimafia11999  hipohan fasilitas apa   semua fasilitas jkwie adakah produk bangs t   tapera omnibus law pajak tinggi beras mahal kreta cepat jkt bandung produk hutang caina bandara yg banyak bangkrut tambang di keruk asing dollar tinggi rupiah terpuruk ,1802845139242541317,,antimafia11999,in,"DKI Jakarta, Indonesia 🇮🇩",0,0,0,https://x.com/Louis_chantika/status/1802845139242541317,1399402181254545411,Louis_chantika,neutral
14,1802704953510941026,Mon Jun 17 23:12:22 +0000 2024,11, bacottetangga  woi siapa yg naro tagihan tapera disini ,1802841748030509508,,bacottetangga_,in,,0,4,0,https://x.com/AndiTizar/status/1802841748030509508,1327389160726904833,AndiTizar,neutral
15,1802345016209379329,Mon Jun 17 23:04:59 +0000 2024,0, geloraco dan melalui tapera buat gaji para pengurus ikn,1802839888104181847,,geloraco,in,,0,0,0,https://x.com/SukmaWi12127725/status/1802839888104181847,1396781628815380485,SukmaWi12127725,neutral
16,1802839780692262943,Mon Jun 17 23:04:33 +0000 2024,0,tepatkah kata tabungan dipakai dalam akronim tapera alias tabungan perumahan rakyat   https   t co yq144ut9nt  opini  kompas59  multimediamencerahkan,1802839780692262943,,,in,"Palmerah, Jakarta",0,0,0,https://x.com/KompasData/status/1802839780692262943,771030588,KompasData,neutral
17,1802839780528656403,Mon Jun 17 23:04:33 +0000 2024,1,tepatkah kata tabungan dipakai dalam akronim tapera alias tabungan perumahan rakyat   https   t co gac5itipkg  opini  kompas59,1802839780528656403,,,in,"Palmerah, Jakarta",1,0,0,https://x.com/hariankompas/status/1802839780528656403,255866913,hariankompas,neutral
18,1802598811480854562,Mon Jun 17 23:00:42 +0000 2024,0, anakmasdulll  membatalakan tapera  simple,1802838813414482064,,anakmasdulll_,in,,0,0,0,https://x.com/withmetome/status/1802838813414482064,1691576611261542401,withmetome,neutral
19,1802311323080085806,Mon Jun 17 23:00:21 +0000 2024,0, zy zy lestary  yattie2023  xquitavee  dika maxelyou  adri 7i  haramasoy  arie nurma01 24 sampe mau ngutang ke rakyat dg dalih tabungan tapera bangkrut bangkrut aja bajitol   ngomong antri para investor eh   kenyataan nya eh  blum ada yg masuk    tukang ngibul celeng,1802838723027243440,,zy_zy_lestary,in,,0,0,0,https://x.com/Bangsat698/status/1802838723027243440,1546953538382675970,Bangsat698,negative
