"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844890448688828570","Fri Oct 11 23:58:54 +0000 2024","0","Seandainya pemimpin Indonesia setegas Bung Karno .mungkin Indonesia dicurangi wasit dan mafia Bahrain..tdk ditanggapi AFC dan FIFA.mungkin Bung Karno akan putuskan hubungan diplomatik dgn Bahrain.dan keluar dari keanggotaan OKI.","1844890448688828570","","","in","New york US","0","0","0","https://x.com/eranolok/status/1844890448688828570","1952471238","eranolok"
"1844890010266501436","Fri Oct 11 23:57:09 +0000 2024","0","Wasit Ahmed Al Kaf Sudah 4 Kali Pimpin Laga Timnas Bahrain dan Selalu Beri Keuntungan Ini Buktinya https://t.co/6YP7iRhxqC","1844890010266501436","","","in","Jakarta, Indonesia","0","0","0","https://x.com/inewsdotid/status/1844890010266501436","944180887171743745","inewsdotid"
"1844677613832360021","Fri Oct 11 23:51:32 +0000 2024","4","@S4ndyWijaya @Fa1zansar1 @TrollFootball Harusnya babak tambahan cuman 6 menit (posisi Indonesia unggul 2) tapi si wasit ngulur waktu Ampe jadi 9 menit (nambah 3 menit) agar Bahrain bisa cetak skor jadi 2-2 (yang asalnya Bahrain 1-2 Indonesia) Kalo ada yang salah/beda bisa dikoreksi","1844888596924538987","","S4ndyWijaya","in","Read my Carrd first :3c","0","1","0","https://x.com/sannawpy/status/1844888596924538987","1472033247194333187","sannawpy"
"1844805503291113547","Fri Oct 11 23:51:22 +0000 2024","3","@BahrainFA Bahrain kuat secara Finansial. Kalau main cuma seperti Kaum LGBT lebih baik jangan main Sepak Bola. Sepak Bola itu permainan Pejuang bukan mental banci kesenggol dikit guling-guling akting layaknya Pemain Bokep. Wasit dibayar pokoknya Timnas lawan harus kalah apapun caranya. https://t.co/sWz0pEDGI4","1844888554369056836","https://pbs.twimg.com/media/GZpcXL7bUAAdGep.jpg","BahrainFA","in","","0","0","0","https://x.com/BojanMalisic8/status/1844888554369056836","1112462184460607488","BojanMalisic8"
"1844763637262750026","Fri Oct 11 23:51:14 +0000 2024","0","Akan tetapi memang seperti itu sepak bola: protes kepemimpinan wasit tidak bisa mengubah hasil akhir pertandingan. Indonesia tetap imbang dengan Bahrain.","1844888519438893561","","kompasiana","in","Indonesia","0","1","0","https://x.com/kompasiana/status/1844888519438893561","23786106","kompasiana"
"1844606493905371465","Fri Oct 11 23:50:48 +0000 2024","0","@0PSH8 Pemaen suporter wasit wartawan bahrain agak laen emg","1844888412962292011","","0PSH8","in","","0","0","0","https://x.com/iyeoniesugyeom/status/1844888412962292011","1676177075261276160","iyeoniesugyeom"
"1844888177426956369","Fri Oct 11 23:49:52 +0000 2024","0","Makin banyak menteri makin banyak korupsi.. Korupsi paling banyak ya di kementrian.. . Sesuai slogan praBOCOR Kalau korupsinya tidak seberapa ya gapapa... . Numpang Wasit FIFA Bahrain https://t.co/V5gSYhIS9l","1844888177426956369","https://pbs.twimg.com/media/GZpcBULaAAEwVtu.jpg","","in","Semarang Timur, Indonesia","0","0","0","https://x.com/Otto_0967/status/1844888177426956369","1757729498102124545","Otto_0967"
"1844887895355818319","Fri Oct 11 23:48:45 +0000 2024","0","https://t.co/h8sO7xlh4p Bahrain wasit FIFA Indonesia Baim Paula","1844887895355818319","","","in","Indonesia","0","0","0","https://x.com/frk_haha/status/1844887895355818319","1745320523721220096","frk_haha"
"1844887247717531987","Fri Oct 11 23:46:10 +0000 2024","0","Bahrain kuat secara Finansial. Kalau main cuma seperti Kaum LGBT lebih baik jangan main Sepak Bola. Sepak Bola itu permainan Pejuang bukan mental banci kesenggol dikit guling-guling akting layaknya Pemain Bokep. Wasit dibayar pokoknya Timnas lawan harus kalah apapun caranya.","1844887247717531987","","","in","","0","0","0","https://x.com/SantuySaja89/status/1844887247717531987","1787324819719311360","SantuySaja89"
"1844885622139519037","Fri Oct 11 23:39:43 +0000 2024","0","Ini kalau kiblatnya ke arah gurun jadi GOBLOK akut..! Semua dari belum lahir sudah menikmati hasil pajak menikmati sarana publik dr RS jalan penerangan jalan sekolah dlsb dr hasil pajak.. . Pulangkan sj onta gurun spt ini meresahkan.. Numpang Wasit FIFA Bahrain","1844885622139519037","","","in","Semarang Timur, Indonesia","0","0","0","https://x.com/Otto_0967/status/1844885622139519037","1757729498102124545","Otto_0967"
"1844885305448595853","Fri Oct 11 23:38:27 +0000 2024","0","Aku pun semakin bersemangat menggenjotnya dan memaju-mundurkan kemaluanku di dalam vaginanya. Sementara tanganku tidak lepas memegangi puting payudaranya yang mengencang. https://t.co/69Lh4YDiQz SMA 70 Sandra Dewi Witan Komeng GAYA GUE Haram Bahrain Wasit Shame Arab #zonauang https://t.co/2OAHqRgWW4","1844885305448595853","https://pbs.twimg.com/media/GZpZZxHaAAABh3W.jpg","","in","","0","0","0","https://x.com/Pecandu_JKT48/status/1844885305448595853","1834496004441473026","Pecandu_JKT48"
